va_1,va_2,va_3,va_4,labels
0.395664529,0.376432058,0.810313076,0.27458493,0
0.292428295,0.260557885,0.826887661,0.276500639,0
0.311136748,0.283173991,0.843462247,0.284802043,0
0.381809181,0.286850596,0.876611418,0.296934866,0
0.469265746,0.359285396,0.73664825,0.298850575,0
0.476606672,0.218634245,0.709023941,0.302681992,0
1,0.348772333,0.572744015,0.304597701,0
0.503441674,0.4500278,0.453038674,0.320561941,0
0.647497902,0.335274709,0.443830571,0.310983397,0
0.340330256,0.320457357,0.47145488,0.310983397,0
0.109675122,0.24058929,0.651933702,0.321200511,0
0.497708065,0.383614565,0.839779006,0.32311622,0
0.376664542,0.44827708,0.594843462,0.308429119,0
0.636667423,0.372461033,0.480662983,0.293103448,0
0.273306972,0.296103546,0.432780847,0.295019157,0
0.878905866,0.357899401,0.344383057,0.299489144,1
0.696064697,0.225710449,0.408839779,0.286717752,1
0.6219601,0.405980956,0.403314917,0.270753512,1
0.614990177,0.297648455,0.44198895,0.264367816,1
0.624637905,0.421855374,0.436464088,0.264367816,1
0.659730849,0.38945823,0.458563536,0.270114943,1
0.744230974,0.238958049,0.355432781,0.272669221,1
0.778320874,0.263749221,0.390423573,0.266922095,1
0.637405385,0.185271112,0.386740331,0.266922095,1
0.696815011,0.214805863,0.421731123,0.263090677,1
0.494930895,0.243447733,0.535911602,0.260536398,0
0.6135782,0.249241003,0.651933702,0.263090677,0
0.444711857,0.307334696,0.742173112,0.25862069,0
0.416973941,0.37327238,0.718232044,0.269476373,0
0.457023289,0.338412367,0.699815838,0.272030651,0
0.432006903,0.228992889,0.775322284,0.279693487,0
0.506635648,0.356662042,0.745856354,0.275862069,0
0.468438476,0.301945377,0.73664825,0.272030651,0
0.394085633,0.199736693,0.5893186,0.273307791,0
0.472653529,0.305074146,0.732965009,0.280970626,0
0.568823318,0.443469843,0.738489871,0.282247765,0
0.329085596,0.283816179,0.70718232,0.279693487,0
0.510479043,0.329386506,0.747697974,0.272669221,0
0.30523939,0.426866163,0.572744015,0.266922095,0
0.563064785,0.558593328,0.534069982,0.268837803,0
0.571606062,0.696303748,0.524861878,0.271392082,0
0.498315618,0.262590369,0.523020258,0.277777778,0
0.506975826,0.253343896,0.482504604,0.275862069,0
0.466379811,0.358915029,0.480662983,0.275862069,0
0.531860163,0.42614137,0.510128913,0.272669221,0
0.572553575,0.137022973,0.563535912,0.272030651,0
0.608977605,0.209585879,0.681399632,0.268199234,0
0.511599377,0.220063847,0.556169429,0.266283525,0
0.488067988,0.293859462,0.578268877,0.272030651,0
0.509334879,0.343424559,0.552486188,0.272669221,0
0.366603069,0.197891951,0.639042357,0.275223499,0
0.555062524,0.274164279,0.627992634,0.272669221,0
0.549216105,0.333549998,0.631675875,0.276500639,0
0.472279465,0.375920564,0.627992634,0.278416347,0
0.488394611,0.252545496,0.561694291,0.277139208,0
0.445322143,0.256233815,0.679558011,0.282247765,0
0.415059787,0.325452732,0.681399632,0.284163474,0
0.608469415,0.348252326,0.696132597,0.284802043,0
0.497449215,0.270500338,0.633517495,0.285440613,0
0.481092272,0.243751341,0.681399632,0.287994891,0
0.36609958,0.296628628,0.694290976,0.286717752,0
0.467036883,0.279480267,0.701657459,0.291187739,0
0.564764034,0.290368536,0.631675875,0.291826309,0
0.44858083,0.303320689,0.639042357,0.2899106,0
0.479134502,0.350124763,0.659300184,0.287994891,0
0.428141319,0.22559341,0.688766114,0.289272031,0
0.417320131,0.37562189,0.692449355,0.289272031,0
0.355812707,0.282458715,0.710865562,0.2899106,0
0.67399699,0.282206944,0.653775322,0.289272031,0
0.243319643,0.312036837,0.659300184,0.286717752,0
0.422797514,0.383406982,0.685082873,0.288633461,0
0.456804338,0.258079636,0.58747698,0.289272031,0
0.411878821,0.310965496,0.61694291,0.29054917,0
0.424375973,0.329376336,0.725598527,0.29054917,0
0.383146389,0.294375371,0.668508287,0.2899106,0
0.402834711,0.288950762,0.664825046,0.29054917,0
0.429339592,0.47299726,0.574585635,0.29054917,0
0.370631856,0.338675683,0.602209945,0.2899106,0
0.380901239,0.278274006,0.55801105,0.293103448,0
0.38254911,0.236042815,0.690607735,0.295657727,0
0.408787381,0.267032651,0.629834254,0.299489144,0
0.372670735,0.308351187,0.637200737,0.30587484,0
0.336278405,0.345412539,0.701657459,0.316730524,0
0.427838963,0.282275004,0.775322284,0.316091954,0
0.38297783,0.352253978,0.732965009,0.330140485,0
0.286824985,0.455013173,0.690607735,0.332694764,0
0.40155664,0.244149651,0.67771639,0.325031928,0
0.379905738,0.490330606,0.537753223,0.326947637,0
0.288880807,0.356764327,0.576427256,0.328863346,0
0.444774055,0.339856447,0.607734807,0.342273308,0
0.433411994,0.514783817,0.578268877,0.3550447,0
0.485275953,0.437099229,0.581952118,0.352490421,0
0.430553934,0.358221408,0.565377532,0.341634738,0
0.464631373,0.189173027,0.513812155,0.351213282,0
0.454013833,0.320315905,0.511970534,0.330779055,0
0.434048515,0.22200307,0.511970534,0.314176245,0
0.569293358,0.23293562,0.443830571,0.317369093,0
0.512032469,0.264394591,0.41252302,0.311621967,0
0.631646306,0.282272645,0.331491713,0.314814815,0
0.473714944,0.280293036,0.399631676,0.331417625,0
0.491301971,0.369114503,0.449355433,0.342273308,0
0.485723037,0.282938922,0.49907919,0.351213282,0
0.401881514,0.285320339,0.554327808,0.358876117,0
0.57018851,0.29185662,0.572744015,0.360153257,0
0.541510624,0.337591982,0.578268877,0.37164751,0
0.243834938,0.424825875,0.594843462,0.388888889,0
0.445257759,0.250036357,0.596685083,0.385696041,0
0.653430787,0.340456471,0.607734807,0.374840358,0
0.294081523,0.466647008,0.585635359,0.376756066,0
0.528788946,0.387055495,0.543278085,0.388250319,0
0.401491709,0.123001082,0.622467772,0.381864623,0
