va_3
70.3
71.2
72.1
73.9
66.3
64.8
57.4
50.9
50.4
51.9
61.7
71.9
58.6
52.4
49.8
45
48.5
48.2
50.3
50
51.2
45.6
47.5
47.3
49.2
55.4
61.7
66.6
65.3
64.3
68.4
66.8
66.3
58.3
66.1
66.4
64.7
66.9
57.4
55.3
54.8
54.7
52.5
52.4
54
56.9
63.3
56.5
57.7
56.3
61
60.4
60.6
60.4
56.8
63.2
63.3
64.1
60.7
63.3
64
64.4
60.6
61
62.1
63.7
63.9
64.9
61.8
62.1
63.5
58.2
59.8
65.7
62.6
62.4
57.5
59
56.6
63.8
60.5
60.9
64.4
68.4
66.1
63.8
63.1
55.5
57.6
59.3
57.7
57.9
57
54.2
54.1
54.1
50.4
48.7
44.3
48
50.7
53.4
56.4
57.4
57.7
58.6
58.7
59.3
58.1
55.8
60.1
60
54.9
56.5
56.1
57
61.1
59.8
60.6
57.1
59.1
58.8
55.1
56.3
56.9
51.2
54.1
54.8
53.2
51.2
50.3
48.1
45.9
47.3
45.5
45.2
49.7
54.5
49.7
45.1
44.1
38.5
46.8
50.5
60
54.4
58.1
58.9
55.4
56.8
55.6
59.3
60.8
56.1
63.9
65.6
67.7
63.5
62.6
65.7
62.2
65.3
63.2
68.3
66.9
72.7
71.8
71.1
68.5
67.7
65.6
59.2
62.7
50.4
59
58.2
58.4
62
56
55.9
49.7
55.8
54.5
51.6
50.4
52
49.6
46.3
44.3
40.9
33.4
33.4
41.5
33.1
45.5
50.5
53.1
55.8
61.1
62.3
62.3
60
62.4
65.6
64.8
63.3
64.1
60.5
60.5
56.7
52.9
53.2
56.1
54.4
59.6
56.9
50.8
62.5
59.2
63
62.5
60.6
53.9
54.9
57
58.7
64.7
57.7
54.6
57
60.3
62.3
61.7
65.1
64.9
65
62
61.3
60.4
58.8
59
57.4
55.5
52.1
50.2
49.4
49
48.3
49
52.6
48.2
48.4
53.1
46.7
37.9
28.1
31.5
35.1
46.9
55.1
60.7
66.8
57.2
51.8
50.9
52.8
55
59
53.9
47.6
49.5
43.8
39.4
36.1
37.3
39
40.1
38
41.3
37.2
39.4
41.1
39.9
41.3
42
42.6
44
50.8
61.1
58.4
58.2
61.5
63.2
71.5
69.9
67.8
69.6
70.7
80.6
59.9
64
61.5
62.3
59.3
62.3
58.2
54.3
52.2
53.4
53.8
54.9
54.9
54.2
51.2
51.6
51.9
50.5
48.2
50.6
52.8
54.9
56.5
55.3
52.9
53.6
56
52.5
55.1
53.5
49.3
56
56.5
54.2
54.7
53
60.7
57.3
57.6
59.3
60.6
60.1
62.5
64.2
65.5
63.2
61.9
65.1
59.3
58.6
57.7
59.1
58
61.7
61.2
57.8
54.8
58.7
57.5
57.6
57.9
55.6
52.7
54.9
50.7
49.5
46.9
46.7
48
48.5
49.2
49.7
47.4
52.8
54.7
53.5
53.9
51.3
49.8
47.9
45.5
43.6
42.1
41.8
38.9
39.1
41.2
44.5
46.9
53.7
57.2
59.8
61.2
60.7
52.1
50.6
50.4
58.7
59.7
57.8
61.2
57.6
57.4
56.8
53.9
54.7
58.6
57.9
61.5
63.5
56.7
51.6
55
53.1
52.7
53.9
55.2
56.1
57.5
61.7
59.7
60.2
63.4
61.4
62.7
62
62.3
60.2
62.8
63.3
63.9
59.5
60.9
57.4
54.8
54.1
49.9
46.1
51.6
49.1
50.5
47
45
46.9
45.6
45.7
47.3
51.6
53
55.5
52.4
55.1
53.5
55.4
58.1
58.9
59.8
58.9
55
56.8
56.7
56.5
64.5
61.5
56.6
59.4
60.1
56.7
55.6
54.6
54.5
53.3
53.2
50.6
50.8
50.7
51.2
52.4
50.4
47.7
55.6
56
55.7
57.2
58.5
61.6
58.1
58.3
59.9
59.7
60.2
60.6
57.8
59.1
59.5
58.1
56.4
53.4
53.7
49.7
51.5
49.3
50.1
42.9
39.2
38.6
42.6
43.1
43.1
45.3
47
51.8
51.8
41.8
46.9
49.2
51.1
58.1
58.3
59.1
59.4
61.1
56.6
54.9
53.5
51.3
52.7
53.9
54.1
53.6
47
48.5
52.9
54.1
53.9
61.8
57.8
62.8
66.6
70
69.3
65.6
66.8
66.6
65.3
63.7
63.8
59.3
59.8
59.3
57.3
57.9
59.1
58.2
57.4
56.4
54.7
55.3
58.8
54.3
60.2
61.9
61
60.3
58.8
58.4
58.4
59.7
56.1
53.3
56.2
54.1
56
52
49.7
54.1
50.5
54.4
54.1
57.4
57
60.5
55.1
54.5
56
49
52.4
48.8
53.7
50.5
48.8
49.9
51.3
50.3
53
51.9
42.4
33.1
32.2
26.3
30.7
35.9
37.1
40.7
45
51.8
59.6
59.4
58.8
61.9
62.9
61.8
63
57.2
62.1
64.1
64.3
61.2
57.9
61.2
59.3
62
59.2
61.5
63.1
63.9
63.9
59.5
53.1
56.7
54.2
53
54.4
53
55.8
58.9
54.3
55.5
56.5
59.2
56.6
53.8
50.6
49.5
51.9
51.9
52.2
53.1
53.8
54.5
53.9
52.1
52.5
55.7
60.8
63
61.2
60.8
62.4
61.7
54.8
48.2
55.9
55.7
61
60
61.2
64.5
64.6
64.8
64.4
57.7
56.5
53.7
53.8
56
54.5
54
56
53.6
51.8
52.9
49.2
49.9
50.2
52.8
55.3
54.2
52.6
54.7
55.4
49.6
52.8
54.6
56
59.4
61.4
62.9
57.6
58.6
57.1
62.4
60.6
61
62.2
61
63.9
65.2
60.5
62
61
57.2
61.5
62.3
58.5
63.3
63.9
59.9
60.6
54.1
60.5
54.8
55.8
52.3
51.3
54.1
50.8
49.5
47.3
46.2
49.1
44.8
54.3
