DATE,FEDFUNDS,,,,,
1964/2/1,3.48,0.0348,,0.0415,,0.0067
1964/3/1,3.43,0.0343,,0.0422,,0.0079
1964/4/1,3.47,0.0347,,0.0423,,0.0076
1964/5/1,3.5,0.035,,0.042,,0.007
1964/6/1,3.5,0.035,,0.0417,,0.0067
1964/7/1,3.42,0.0342,,0.0419,,0.0077
1964/8/1,3.5,0.035,,0.0419,,0.0069
1964/9/1,3.45,0.0345,,0.042,,0.0075
1964/10/1,3.36,0.0336,,0.0419,,0.0083
1964/11/1,3.52,0.0352,,0.0415,,0.0063
1964/12/1,3.85,0.0385,,0.0418,,0.0033
1965/1/1,3.9,0.039,,0.0419,,0.0029
1965/2/1,3.98,0.0398,,0.0421,,0.0023
1965/3/1,4.04,0.0404,,0.0421,,0.0017
1965/4/1,4.09,0.0409,,0.042,,0.0011
1965/5/1,4.1,0.041,,0.0421,,0.0011
1965/6/1,4.04,0.0404,,0.0421,,0.0017
1965/7/1,4.09,0.0409,,0.042,,0.0011
1965/8/1,4.12,0.0412,,0.0425,,0.0013
1965/9/1,4.01,0.0401,,0.0429,,0.0028
1965/10/1,4.08,0.0408,,0.0435,,0.0027
1965/11/1,4.1,0.041,,0.0445,,0.0035
1965/12/1,4.32,0.0432,,0.0462,,0.003
1966/1/1,4.42,0.0442,,0.0461,,0.0019
1966/2/1,4.6,0.046,,0.0483,,0.0023
1966/3/1,4.65,0.0465,,0.0487,,0.0022
1966/4/1,4.67,0.0467,,0.0475,,0.0008
1966/5/1,4.9,0.049,,0.0478,,-0.0012
1966/6/1,5.17,0.0517,,0.0481,,-0.0036
1966/7/1,5.3,0.053,,0.0502,,-0.0028
1966/8/1,5.53,0.0553,,0.0522,,-0.0031
1966/9/1,5.4,0.054,,0.0518,,-0.0022
1966/10/1,5.53,0.0553,,0.0501,,-0.0052
1966/11/1,5.76,0.0576,,0.0516,,-0.006
1966/12/1,5.4,0.054,,0.0484,,-0.0056
1967/1/1,4.94,0.0494,,0.0458,,-0.0036
1967/2/1,5,0.05,,0.0463,,-0.0037
1967/3/1,4.53,0.0453,,0.0454,,0.0001
1967/4/1,4.05,0.0405,,0.0459,,0.0054
1967/5/1,3.94,0.0394,,0.0485,,0.0091
1967/6/1,3.98,0.0398,,0.0502,,0.0104
1967/7/1,3.79,0.0379,,0.0516,,0.0137
1967/8/1,3.9,0.039,,0.0528,,0.0138
1967/9/1,3.99,0.0399,,0.053,,0.0131
1967/10/1,3.88,0.0388,,0.0548,,0.016
1967/11/1,4.13,0.0413,,0.0575,,0.0162
1967/12/1,4.51,0.0451,,0.057,,0.0119
1968/1/1,4.6,0.046,,0.0553,,0.0093
1968/2/1,4.71,0.0471,,0.0556,,0.0085
1968/3/1,5.05,0.0505,,0.0574,,0.0069
1968/4/1,5.76,0.0576,,0.0564,,-0.0012
1968/5/1,6.11,0.0611,,0.0587,,-0.0024
1968/6/1,6.07,0.0607,,0.0572,,-0.0035
1968/7/1,6.02,0.0602,,0.055,,-0.0052
1968/8/1,6.03,0.0603,,0.0542,,-0.0061
1968/9/1,5.78,0.0578,,0.0546,,-0.0032
1968/10/1,5.91,0.0591,,0.0558,,-0.0033
1968/11/1,5.82,0.0582,,0.057,,-0.0012
1968/12/1,6.02,0.0602,,0.0603,,0.0001
1969/1/1,6.3,0.063,,0.0604,,-0.0026
1969/2/1,6.61,0.0661,,0.0619,,-0.0042
1969/3/1,6.79,0.0679,,0.063,,-0.0049
1969/4/1,7.41,0.0741,,0.0617,,-0.0124
1969/5/1,8.67,0.0867,,0.0632,,-0.0235
1969/6/1,8.9,0.089,,0.0657,,-0.0233
1969/7/1,8.61,0.0861,,0.0672,,-0.0189
1969/8/1,9.19,0.0919,,0.0669,,-0.025
1969/9/1,9.15,0.0915,,0.0716,,-0.0199
1969/10/1,9,0.09,,0.071,,-0.019
1969/11/1,8.85,0.0885,,0.0714,,-0.0171
1969/12/1,8.97,0.0897,,0.0765,,-0.0132
1970/1/1,8.98,0.0898,,0.0779,,-0.0119
1970/2/1,8.98,0.0898,,0.0724,,-0.0174
1970/3/1,7.76,0.0776,,0.0707,,-0.0069
1970/4/1,8.1,0.081,,0.0739,,-0.0071
1970/5/1,7.94,0.0794,,0.0791,,-0.0003
1970/6/1,7.6,0.076,,0.0784,,0.0024
1970/7/1,7.21,0.0721,,0.0746,,0.0025
1970/8/1,6.61,0.0661,,0.0753,,0.0092
1970/9/1,6.29,0.0629,,0.0739,,0.011
1970/10/1,6.2,0.062,,0.0733,,0.0113
1970/11/1,5.6,0.056,,0.0684,,0.0124
1970/12/1,4.9,0.049,,0.0639,,0.0149
1971/1/1,4.14,0.0414,,0.0624,,0.021
1971/2/1,3.72,0.0372,,0.0611,,0.0239
1971/3/1,3.71,0.0371,,0.057,,0.0199
1971/4/1,4.15,0.0415,,0.0583,,0.0168
1971/5/1,4.63,0.0463,,0.0639,,0.0176
1971/6/1,4.91,0.0491,,0.0652,,0.0161
1971/7/1,5.31,0.0531,,0.0673,,0.0142
1971/8/1,5.56,0.0556,,0.0658,,0.0102
1971/9/1,5.55,0.0555,,0.0614,,0.0059
1971/10/1,5.2,0.052,,0.0593,,0.0073
1971/11/1,4.91,0.0491,,0.0581,,0.009
1971/12/1,4.14,0.0414,,0.0593,,0.0179
1972/1/1,3.5,0.035,,0.0595,,0.0245
1972/2/1,3.29,0.0329,,0.0608,,0.0279
1972/3/1,3.83,0.0383,,0.0607,,0.0224
1972/4/1,4.17,0.0417,,0.0619,,0.0202
1972/5/1,4.27,0.0427,,0.0613,,0.0186
1972/6/1,4.46,0.0446,,0.0611,,0.0165
1972/7/1,4.55,0.0455,,0.0611,,0.0156
1972/8/1,4.8,0.048,,0.0621,,0.0141
1972/9/1,4.87,0.0487,,0.0655,,0.0168
1972/10/1,5.04,0.0504,,0.0648,,0.0144
1972/11/1,5.06,0.0506,,0.0628,,0.0122
1972/12/1,5.33,0.0533,,0.0636,,0.0103
1973/1/1,5.94,0.0594,,0.0646,,0.0052
1973/2/1,6.58,0.0658,,0.0664,,0.0006
1973/3/1,7.09,0.0709,,0.0671,,-0.0038
1973/4/1,7.12,0.0712,,0.0667,,-0.0045
1973/5/1,7.84,0.0784,,0.0685,,-0.0099
1973/6/1,8.49,0.0849,,0.069,,-0.0159
1973/7/1,10.4,0.104,,0.0713,,-0.0327
1973/8/1,10.5,0.105,,0.074,,-0.031
1973/9/1,10.78,0.1078,,0.0709,,-0.0369
1973/10/1,10.01,0.1001,,0.0679,,-0.0322
1973/11/1,10.03,0.1003,,0.0673,,-0.033
1973/12/1,9.95,0.0995,,0.0674,,-0.0321
1974/1/1,9.65,0.0965,,0.0699,,-0.0266
1974/2/1,8.97,0.0897,,0.0696,,-0.0201
1974/3/1,9.35,0.0935,,0.0721,,-0.0214
1974/4/1,10.51,0.1051,,0.0751,,-0.03
1974/5/1,11.31,0.1131,,0.0758,,-0.0373
1974/6/1,11.93,0.1193,,0.0754,,-0.0439
1974/7/1,12.92,0.1292,,0.0781,,-0.0511
1974/8/1,12.01,0.1201,,0.0804,,-0.0397
1974/9/1,11.34,0.1134,,0.0804,,-0.033
1974/10/1,10.06,0.1006,,0.079,,-0.0216
1974/11/1,9.45,0.0945,,0.0768,,-0.0177
1974/12/1,8.53,0.0853,,0.0743,,-0.011
1975/1/1,7.13,0.0713,,0.075,,0.0037
1975/2/1,6.24,0.0624,,0.0739,,0.0115
1975/3/1,5.54,0.0554,,0.0773,,0.0219
1975/4/1,5.49,0.0549,,0.0823,,0.0274
1975/5/1,5.22,0.0522,,0.0806,,0.0284
1975/6/1,5.55,0.0555,,0.0786,,0.0231
1975/7/1,6.1,0.061,,0.0806,,0.0196
1975/8/1,6.14,0.0614,,0.084,,0.0226
1975/9/1,6.24,0.0624,,0.0843,,0.0219
1975/10/1,5.82,0.0582,,0.0814,,0.0232
1975/11/1,5.22,0.0522,,0.0805,,0.0283
1975/12/1,5.2,0.052,,0.08,,0.028
1976/1/1,4.87,0.0487,,0.0774,,0.0287
1976/2/1,4.77,0.0477,,0.0779,,0.0302
1976/3/1,4.84,0.0484,,0.0773,,0.0289
1976/4/1,4.82,0.0482,,0.0756,,0.0274
